line,station
4,Király utca / Erzsébet körút
4,Wesselényi utca / Erzsébet körút
4,Blaha Lujza tér M
4,Rákóczi tér M
4,Harminckettesek tere
4,Corvin-negyed M
4,Mester utca / Ferenc körút
4,Boráros tér H
4,"Petőfi híd, budai hídfő"
4,Budafoki út / Szerémi sor
4,Újbuda-központ M
6,Széll Kálmán tér M
6,Széna tér
6,Mechwart liget
6,"Margit híd, budai hídfő H"
6,Margitsziget / Margit híd
6,Jászai Mari tér
6,Nyugati pályaudvar M
6,Oktogon M
6,Király utca / Erzsébet körút
6,Wesselényi utca / Erzsébet körút
6,Blaha Lujza tér M
6,Rákóczi tér M
6,Harminckettesek tere
6,Corvin-negyed M
6,Mester utca / Ferenc körút
6,Boráros tér H
6,"Petőfi híd, budai hídfő"
6,Budafoki út / Karinthy Frigyes út
6,Móricz Zsigmond körtér M
12M,Lehel tér M
12M,Dévai utca
12M,Lehel utca / Dózsa György út
12M,Hun utca
12M,Lehel utca / Róbert Károly körút
12M,Béke tér
12M,Frangepán utca
12M,Fiastyúk utca
12M,Rokolya utca
12M,Gyöngyösi utca
12M,Angyalföld vasútállomás
12M,Angyalföld kocsiszín
12M,Tél utca / Pozsonyi utca
12M,Újpest-Központ M
12M,Szent István tér (Újpesti piac)
12M,Kiss Ernő utca
12M,Újpesti rendelőintézet
12M,Szülőotthon
12M,Rákospalota-Újpest vasútállomás
12M,Géza fejedelem tér
12M,Fő út
12M,"Rákospalota, Kossuth utca"
14M,Lehel tér M
14M,Dévai utca
14M,Lehel utca / Dózsa György út
14M,Hun utca
14M,Lehel utca / Róbert Károly körút
14M,Béke tér
14M,Frangepán utca
14M,Fiastyúk utca
14M,Rokolya utca
14M,Gyöngyösi utca
14M,Angyalföld vasútállomás
14M,Angyalföld kocsiszín
14M,Tél utca / Pozsonyi utca
14M,Újpest-Központ M
14M,Szent István tér (Újpesti piac)
14M,Kiss Ernő utca
14M,Újpesti rendelőintézet
14M,Szülőotthon
14M,Rákospalota-Újpest vasútállomás
14M,Atlétikai stadion
14M,Óceán-árok utca
14M,Járműtelep utca
14M,Bőröndös utca
14M,Bőrfestő utca
14M,"Káposztásmegyer, Megyeri út"
17,Etele út / Fehérvári út
17,Hauszmann Alajos utca
17,Csonka János tér
17,Újbuda-központ M
17,Móricz Zsigmond körtér M
17,Móricz Zsigmond körtér M
17,Tas vezér utca
17,Szüret utca
17,Pető Intézet (Villányi út)
17,Alsóhegy utca
17,Budaörsi út / Villányi út
17,BAH-csomópont
17,Csörsz utca
17,Királyhágó utca
17,Nagyenyed utca
17,Déli pályaudvar M
17,Széll Kálmán tér M
17,Széna tér
17,Mechwart liget
17,"Margit híd, budai hídfő H"
17,Szent Lukács Gyógyfürdő
17,Komjádi Béla utca
17,Zsigmond tér
17,Kolosy tér
17,Katinyi mártírok parkja
17,Selmeci utca
17,Szent Margit Kórház
17,Váradi utca
17,Bécsi út / Vörösvári út
17,Bécsi út / Vörösvári út
19,Bécsi út / Vörösvári út
19,Váradi utca
19,Szent Margit Kórház
19,Selmeci utca
19,Katinyi mártírok parkja
19,Kolosy tér
19,Zsigmond tér
19,Komjádi Béla utca
19,Szent Lukács Gyógyfürdő
19,"Margit híd, budai hídfő H"
19,Bem József tér
19,Batthyány tér M+H
19,Halász utca
19,Clark Ádám tér
19,Várkert Bazár
19,Rudas Gyógyfürdő
19,Szent Gellért tér M
19,Gárdonyi tér
19,Móricz Zsigmond körtér M
19,Kosztolányi Dezső tér
19,Karolina út
19,Csóka utca
19,Szent Gellért-templom
19,Kelenföld vasútállomás M
24,Keleti pályaudvar M
24,Dologház utca
24,Magdolna utca
24,Orczy tér
24,Golgota tér
24,Elnök utca
24,Nagyvárad tér M
24,Balázs Béla utca
24,Haller utca / Mester utca
24,Haller utca / Soroksári út
24,Müpa - Nemzeti Színház H
24,Közvágóhíd H
28,Blaha Lujza tér M (Népszínház utca)
28,II. János Pál pápa tér M
28,Teleki László tér
28,Magdolna utca
28,Orczy tér
28,Kőbányai út 21.
28,Kőbányai út 31.
28,Kőbányai út / Könyves Kálmán körút
28,Északi Járműjavító
28,Egészségház
28,Mázsa utca
28,Kőbánya alsó vasútállomás
28,Szent László tér
28,Ónodi utca
28,Élessarok
28,Sörgyár
28,Jászberényi út / Maglódi út
28,Gitár utca
28,Kocka utca
28,Kada utca / Maglódi út
28,Bajcsy-Zsilinszky Kórház
28,Venyige utca
28,Sírkert út
28,Új köztemető
28,Új köztemető (Kozma utca)
28,Izraelita temető
37,Blaha Lujza tér M (Népszínház utca)
37,II. János Pál pápa tér M
37,Teleki László tér
37,Magdolna utca
37,"Salgótarjáni utca, temető"
37,Asztalos Sándor út
37,Hidegkuti Nándor Stadion
37,Kőbányai garázs
37,Pongrácz úti lakótelep
37,Őrház
37,Halom utca
37,Kőbánya felső vasútállomás
37,Élessarok
37,Sörgyár
37,Jászberényi út / Maglódi út
37,Gitár utca
37,Kocka utca
37,Kada utca / Maglódi út
37,Bajcsy-Zsilinszky Kórház
37,Venyige utca
37,Sírkert út
37,Új köztemető
37,Új köztemető (Kozma utca)
41,Bécsi út / Vörösvári út
41,Váradi utca
41,Szent Margit Kórház
41,Selmeci utca
41,Katinyi mártírok parkja
41,Kolosy tér
41,Zsigmond tér
41,Komjádi Béla utca
41,Szent Lukács Gyógyfürdő
41,"Margit híd, budai hídfő H"
41,Bem József tér
41,Batthyány tér M+H
41,Halász utca
41,Clark Ádám tér
41,Várkert Bazár
41,Rudas Gyógyfürdő
41,Szent Gellért tér M
41,Gárdonyi tér
41,Móricz Zsigmond körtér M
41,Újbuda-központ M
41,Csonka János tér
41,Hauszmann Alajos utca
41,Etele út / Fehérvári út
42,Határ út M
42,Corvin körút
42,Hungária út
42,Templom tér
42,Kossuth Lajos utca
42,Vas Gereben utca
42,"Kispest, Tulipán utca"
47,Deák Ferenc tér M
47,Astoria M
47,Kálvin tér M
47,Fővám tér M
47,Szent Gellért tér M
47,Gárdonyi tér
47,Móricz Zsigmond körtér M
47,Újbuda-központ M
